frequeny,dBA,type0_tol_low,type0_tol_high,type1_tol_low,type1_tol_high
10,-70.4,2,-5,4,-4,
12.5,-63.4,2,-4,3.5,-3.5
16,-56.7,2,-3,3,-3
20,-50.5,2,-2,2.5,-2.5
25,-44.7,1.5,-1.5,2,-2
31.5,-39.4,1,-1,1.5,-1.5
40,-34.6,1,-1,1.5,-1.5
50,-30.2,1,-1,1,-1
63,-26.2,1,-1,1,-1
80,-22.5,1,-1,1,-1
100,-19.1,0.7,-0.7,1,-1
125,-16.1,0.7,-0.7,1,-1
160,-13.4,0.7,-0.7,1,-1
200,-10.9,0.7,-0.7,1,-1
250,-8.6,0.7,-0.7,1,-1
315,-6.6,0.7,-0.7,1,-1
400,-4.8,0.7,-0.7,1,-1
500,-3.2,0.7,-0.7,1,-1
630,-1.9,0.7,-0.7,1,-1
800,-0.8,0.7,-0.7,1,-1
1000,0,0.7,-0.7,1,-1
1250,0.6,0.7,-0.7,1,-1
1600,1.0,0.7,-0.7,1,-1
2000,1.2,0.7,-0.7,1,-1
2500,1.3,0.7,-0.7,1,-1
3150,1.2,0.7,-0.7,1,-1
4000,1.0,0.7,-0.7,1,-1
5000,0.5,1,-1,1.5,-1.5
6300,-0.1,1,-1.5,1.5,-2
8000,-1.1,1,-2,1.5,-3
10000,-2.5,2,-3,2,-4
12500,-4.3,2,-3,3,-6
16000,-6.6,2,-3,3,
20000,-9.3,2,-3,3,
